id,id_kabupaten_kota,kecamatan,deleted
284,18,LANGSA BARAT,F
285,20,SINGKOHOR,F
286,2,ALAPAN (ALAFAN),F
287,11,LEMBAH SEULAWAH,F
288,20,PULAU BANYAK,F
289,10,TENGGULUN,F
290,24,PULAU-PULAU BATU TIMUR,F
291,25,PANYABUNGAN KOTA,F
292,26,SIEMPAT NEMPU,F
293,27,AEK NATAS,F
294,28,ADIAN KOTING,F
295,29,BOSAR MALIGAS,F
296,30,SALAPIAN,F
297,31,PERBAUNGAN,F
298,32,SAYUR MATINGGI,F
299,33,AEK SONGSONGAN,F
300,33,AEK LEDONG,F
301,34,PADANG BOLAK JULU,F
302,35,SOSOPAN,F
303,32,SIPIROK,F
304,36,TORGAMBA,F
305,34,PADANG BOLAK,F
306,37,PADANG SIDEMPUAN BATUNADUA,F
307,38,BALIGE,F
308,35,AEK NABARA BARUMUN,F
309,39,TUKKA,F
310,39,BARUS,F
311,39,LUMUT,F
312,25,LANGGA BAYU (LINGGA BAYU),F
313,25,SIABU,F
314,29,UJUNG PADANG,F
315,34,HULU SIHAPAS,F
316,40,ONAN GANJANG,F
317,35,SIHAPAS BARUMUN,F
318,36,SILANGKITANG,F
319,32,BATANG ANGKOLA,F
320,25,BATANG NATAL,F
321,41,SIBOLGA SELATAN,F
322,34,DOLOK,F
323,34,PORTIBI,F
324,27,MARBAU,F
325,39,BADIRI,F
326,34,DOLOK SIGOMPULON,F
327,32,TANO TOMBANGAN ANGKOLA,F
328,27,KUALUH HULU,F
329,27,AEK KUO,F
330,27,NA IX-X,F
331,35,LUBUK BARUMUN,F
332,32,AEK BILAH,F
333,33,AEK KUASAN,F
334,40,DOLOK SANGGUL,F
335,25,LEMBAH SORIK MERAPI,F
336,32,ANGKOLA BARAT (PADANG SIDEMPUAN),F
337,32,MARANCAR,F
338,25,PANYABUNGAN TIMUR,F
339,28,SIMANGUMBAN,F
340,39,PASARIBU TOBING,F
341,33,BANDAR PULAU,F
342,32,ANGKOLA SELATAN (SIAIS),F
343,38,LUMBAN JULU,F
344,40,POLLUNG,F
345,28,SIPAHUTAR,F
346,32,BATANG TORU,F
347,42,MEDANG DERAS,F
348,43,PANGURURAN,F
349,44,SIANTAR SELATAN,F
350,25,PANYABUNGAN SELATAN,F
351,45,RANTAU UTARA,F
