id,id_kecamatan,kelurahan_desa,kode_pos,deleted
22963,1780,PANGGUNG JAYA,34696,F
22964,1582,PANGGUNG MULYA (PANGGUNG MULYO),34595,F
22965,1768,PANGGUNG REJO UTARA,35674,F
22966,1780,PANGGUNG REJO,34696,F
22967,1768,PANGGUNG REJO,35674,F
22968,1726,PANGKAL MAS JAYA,34697,F
22969,1726,PANGKAL MAS MULYA,34697,F
22970,1761,PANJANG SELATAN,35243,F
22971,1761,PANJANG UTARA,35241,F
22972,1686,PANJEREJO,35372,F
22973,1710,PANUTAN,35376,F
22974,1747,PAPAN ASRI,34581,F
22975,1643,PAPAN REJO,34583,F
22976,1607,PARDA HAGA,34883,F
22977,1619,PARDA SUKA,34883,F
22978,1620,PARDA SUKA,35686,F
22979,1638,PARDA WARAS,35386,F
22980,1766,PARDASUKA SELATAN,35682,F
22981,1766,PARDASUKA TIMUR,35682,F
22982,1593,PARDASUKA,35452,F
22983,1664,PARDASUKA,35382,F
22984,1766,PARDASUKA,35682,F
22985,1686,PAREREJO,35372,F
22986,1645,PARIAMAN,35379,F
22987,1583,PARIAMAN,35613,F
22988,1591,PASAR BARU,35368,F
22989,1736,PASAR BATANG,34595,F
22990,1760,PASAR KRUI,34874,F
22991,1596,PASAR LIWA,34814,F
22992,1664,PASAR MADANG,35384,F
22993,1616,PASAR PULAU PISANG,34876,F
22994,1702,PASAR SUKADANA,34194,F
22995,1585,PASIR BANJIT,34766,F
22996,1725,PASIR GINTUNG,35113,F
22997,1767,PASIR SAKTI,34387,F
22998,1710,PASIR UKIR,35376,F
22999,1691,PASIRAN JAYA,34596,F
23000,1661,PASURUAN,35592,F
23001,1710,PATOMAN,35376,F
23002,1569,PAUH TANJUNG IMAN,35551,F
23003,1657,PAYA,35451,F
23004,1745,PAYUNG BATU,34176,F
23005,1745,PAYUNG DADI,34176,F
23006,1745,PAYUNG MAKMUR,34176,F
23007,1745,PAYUNG MULYA,34176,F
23008,1745,PAYUNG REJO,34176,F
23009,1660,PAYUNG,35384,F
23010,1640,PEJAMBON,35353,F
23011,1566,PEKALONGAN,34391,F
23012,1745,PEKANDANGAN,34176,F
23013,1583,PEKON AMPAI,35613,F
23014,1759,PEKON AMPAI,35453,F
23015,1721,PEKON BALAK,34881,F
23016,1620,PEKON BALAK,35686,F
23017,1616,PEKON LOK,34876,F
23018,1709,PEKON MON,34883,F
23019,1770,PEKON SUSUK,35379,F
23020,1770,PEKON UNGGAK,35379,F
23021,1653,PEKONDOH GEDUNG,35367,F
23022,1651,PEKONDOH,35683,F
